Multi-channel IV sweep measurement data file. 
Number of NWFETs measured:  6

Channel settings:
Gate channel(SMU 4): 	Start Voltage:	0.700V	Stop Voltage:	1.400V	Voltage steps:	101
Drain channel(SMU 1): 	0.250V
Source channel(SMU 2): 	0.000V

Measurement comments:




IV data for [NW12], address [112]

#Vg (V)	Id (A)	Is (A)	Ig (A)

1.211000	4.330000E-8	-4.286000E-8	2.243000E-10
1.218000	4.828000E-8	-4.809000E-8	1.470600E-10
1.225000	5.265000E-8	-5.280000E-8	2.428300E-10
1.232000	5.736000E-8	-5.718000E-8	2.248700E-10
1.239000	6.232000E-8	-6.247000E-8	1.555500E-10
1.246000	6.753000E-8	-6.766000E-8	2.541400E-10
1.253000	7.337000E-8	-7.320000E-8	2.188600E-10
1.260000	7.966000E-8	-8.007000E-8	1.610400E-10
1.267000	8.553000E-8	-8.584000E-8	2.949200E-10
1.274000	9.301000E-8	-9.246000E-8	2.245200E-10
1.281000	9.802000E-8	-9.803000E-8	1.986900E-10
1.288000	1.058800E-7	-1.056900E-7	3.066600E-10
1.295000	1.124600E-7	-1.123000E-7	2.189400E-10
1.302000	1.197200E-7	-1.192400E-7	2.128900E-10
1.309000	1.274400E-7	-1.271200E-7	3.025100E-10
1.316000	1.340200E-7	-1.341300E-7	2.216100E-10
1.323000	1.417800E-7	-1.412600E-7	2.208700E-10
1.330000	1.500600E-7	-1.496100E-7	2.287400E-10
1.337000	1.573200E-7	-1.571600E-7	2.249000E-10
1.344000	1.653700E-7	-1.660000E-7	2.446600E-10
1.351000	1.731700E-7	-1.729600E-7	2.291100E-10
1.358000	1.812500E-7	-1.819900E-7	1.634100E-10
1.365000	1.901000E-7	-1.890900E-7	2.459800E-10
1.372000	1.973800E-7	-1.976300E-7	2.406800E-10
1.379000	2.057300E-7	-2.061200E-7	1.928100E-10
1.386000	2.132700E-7	-2.122100E-7	2.640600E-10
1.393000	2.190100E-7	-2.196600E-7	2.473800E-10
1.400000	2.272100E-7	-2.269000E-7	2.150400E-10

IV data for [NW13], address [113]

#Vg (V)	Id (A)	Is (A)	Ig (A)

0.700000	-3.000000E-11	1.000000E-11	1.128330E-9
0.707000	-5.000000E-11	-2.000000E-11	4.624500E-10
0.714000	-3.000000E-11	-4.000000E-11	3.844600E-10
0.721000	-6.000000E-11	-3.000000E-11	3.047600E-10
0.728000	-7.000000E-11	-2.000000E-11	1.731700E-10
0.735000	-4.000000E-11	-3.000000E-11	2.113300E-10
0.742000	-4.000000E-11	-2.000000E-11	2.717000E-10
0.749000	-5.000000E-11	-3.000000E-11	1.683500E-10
0.756000	-5.000000E-11	-4.000000E-11	2.047600E-10
0.763000	-5.000000E-11	-5.000000E-11	2.758400E-10
0.770000	-7.000000E-11	-2.000000E-11	1.810500E-10
0.777000	-4.000000E-11	-3.000000E-11	1.691800E-10
0.784000	-6.000000E-11	-4.000000E-11	1.679200E-10
0.791000	-5.000000E-11	-2.000000E-11	8.286000E-11
0.798000	-6.000000E-11	-6.000000E-11	1.664900E-10
0.805000	-6.000000E-11	-6.000000E-11	1.413400E-10
0.812000	-4.000000E-11	-3.000000E-11	1.361800E-10
0.819000	-2.000000E-11	-6.000000E-11	2.183800E-10
0.826000	-3.000000E-11	-4.000000E-11	1.705800E-10
0.833000	-2.000000E-11	-5.000000E-11	9.292000E-11
0.840000	-3.000000E-11	-7.000000E-11	1.395400E-10
0.847000	-6.000000E-11	-3.000000E-11	1.751700E-10
0.854000	-4.000000E-11	-6.000000E-11	7.206000E-11
0.861000	-3.000000E-11	-9.000000E-11	1.681700E-10
0.868000	-2.000000E-11	-7.000000E-11	1.717900E-10
0.875000	-2.000000E-11	-1.000000E-10	5.490000E-11
0.882000	-1.000000E-11	-9.000000E-11	1.651000E-10
0.889000	0.000000	-1.100000E-10	1.451000E-10
0.896000	0.000000	-1.000000E-10	6.527000E-11
0.903000	1.000000E-11	-1.000000E-10	1.463600E-10
0.910000	2.000000E-11	-1.200000E-10	1.408100E-10
0.917000	6.000000E-11	-1.300000E-10	5.963000E-11
0.924000	6.000000E-11	-1.700000E-10	1.704600E-10
0.931000	9.000000E-11	-1.900000E-10	1.420400E-10
0.938000	1.300000E-10	-2.100000E-10	7.964000E-11
0.945000	1.300000E-10	-2.500000E-10	2.316000E-10
0.952000	1.700000E-10	-2.900000E-10	1.520100E-10
0.959000	2.000000E-10	-3.200000E-10	1.359600E-10
0.966000	2.700000E-10	-3.700000E-10	2.316600E-10
0.973000	3.100000E-10	-4.200000E-10	1.835700E-10
0.980000	3.800000E-10	-4.900000E-10	1.784200E-10
0.987000	4.900000E-10	-5.800000E-10	1.776500E-10
0.994000	6.100000E-10	-7.100000E-10	7.275000E-11
1.001000	7.200000E-10	-8.000000E-10	2.107200E-10
1.008000	8.800000E-10	-9.400000E-10	1.821800E-10
1.015000	1.030000E-9	-1.130000E-9	1.000100E-10
1.022000	1.240000E-9	-1.400000E-9	2.635000E-10
1.029000	1.510000E-9	-1.620000E-9	1.770200E-10
1.036000	1.780000E-9	-1.860000E-9	9.209000E-11
1.043000	2.090000E-9	-2.180000E-9	2.357000E-10
1.050000	2.510000E-9	-2.640000E-9	1.439500E-10
1.057000	2.910000E-9	-3.030000E-9	1.235600E-10
1.064000	3.520000E-9	-3.510000E-9	2.562000E-10
1.071000	4.010000E-9	-4.160000E-9	1.665700E-10
1.078000	4.800000E-9	-4.950000E-9	1.956100E-10
1.085000	5.660000E-9	-5.770000E-9	1.817400E-10
1.092000	6.480000E-9	-6.510000E-9	1.373600E-10
1.099000	7.290000E-9	-7.460000E-9	2.875600E-10
1.106000	8.620000E-9	-8.610000E-9	1.943100E-10
1.113000	9.930000E-9	-9.970000E-9	9.976000E-11
1.120000	1.146000E-8	-1.157000E-8	2.809900E-10
1.127000	1.308000E-8	-1.333000E-8	1.842200E-10
1.134000	1.526000E-8	-1.533000E-8	1.774900E-10
1.141000	1.723000E-8	-1.719000E-8	2.549500E-10
1.148000	1.929000E-8	-1.951000E-8	1.866300E-10
1.155000	2.169000E-8	-2.156000E-8	1.947600E-10
1.162000	2.438000E-8	-2.442000E-8	1.714200E-10
1.169000	2.696000E-8	-2.732000E-8	8.804000E-11
1.176000	3.045000E-8	-3.051000E-8	1.913800E-10
1.183000	3.446000E-8	-3.434000E-8	1.501200E-10
1.190000	3.898000E-8	-3.893000E-8	1.215700E-10
1.197000	4.217000E-8	-4.291000E-8	2.088000E-10
1.204000	4.653000E-8	-4.682000E-8	1.674000E-10
1.211000	5.157000E-8	-5.178000E-8	9.555000E-11
1.218000	5.534000E-8	-5.587000E-8	2.179500E-10
1.225000	6.040000E-8	-6.090000E-8	1.769200E-10
1.232000	6.624000E-8	-6.683000E-8	9.492000E-11
1.239000	7.268000E-8	-7.269000E-8	2.460100E-10
1.246000	7.816000E-8	-7.864000E-8	1.658200E-10
1.253000	8.352000E-8	-8.469000E-8	1.343700E-10
1.260000	9.140000E-8	-9.151000E-8	2.557700E-10
1.267000	9.738000E-8	-9.803000E-8	1.630500E-10
1.274000	1.044200E-7	-1.046100E-7	1.141600E-10
1.281000	1.101900E-7	-1.119800E-7	3.308400E-10
1.288000	1.188300E-7	-1.193200E-7	1.813800E-10
1.295000	1.266700E-7	-1.252100E-7	1.219600E-10
1.302000	1.339100E-7	-1.335600E-7	2.784200E-10
1.309000	1.403900E-7	-1.402400E-7	1.943100E-10
1.316000	1.483800E-7	-1.503800E-7	1.483500E-10
1.323000	1.561600E-7	-1.567700E-7	3.312200E-10
1.330000	1.629100E-7	-1.618600E-7	1.888500E-10
1.337000	1.703100E-7	-1.712900E-7	1.931400E-10
1.344000	1.782300E-7	-1.779800E-7	2.590500E-10
1.351000	1.862900E-7	-1.861700E-7	1.963500E-10
1.358000	1.943700E-7	-1.945300E-7	1.168100E-10
1.365000	2.010400E-7	-2.025700E-7	3.404800E-10
1.372000	2.095400E-7	-2.087000E-7	2.159600E-10
1.379000	2.163600E-7	-2.157900E-7	1.734400E-10
1.386000	2.223600E-7	-2.226800E-7	3.289200E-10
1.393000	2.311600E-7	-2.303800E-7	2.225200E-10
1.400000	2.381700E-7	-2.378100E-7	1.455800E-10

IV data for [NW14], address [114]

#Vg (V)	Id (A)	Is (A)	Ig (A)

0.700000	-5.000000E-11	-3.000000E-11	1.414490E-9
0.707000	-8.000000E-11	-6.000000E-11	6.395500E-10
0.714000	-6.000000E-11	-1.000000E-10	3.770300E-10
0.721000	-6.000000E-11	-8.000000E-11	3.921100E-10
0.728000	-7.000000E-11	-5.000000E-11	2.016400E-10
0.735000	-7.000000E-11	-5.000000E-11	1.960200E-10
0.742000	-8.000000E-11	-8.000000E-11	1.617300E-10
0.749000	-8.000000E-11	-8.000000E-11	8.214000E-11
0.756000	-6.000000E-11	-5.000000E-11	1.617400E-10
0.763000	-7.000000E-11	-8.000000E-11	1.383200E-10
0.770000	-5.000000E-11	-6.000000E-11	5.293000E-11
0.777000	-6.000000E-11	-9.000000E-11	1.497700E-10
0.784000	-8.000000E-11	-5.000000E-11	1.933700E-10
0.791000	-5.000000E-11	-6.000000E-11	1.084800E-10
0.798000	-5.000000E-11	-9.000000E-11	1.824400E-10
0.805000	-8.000000E-11	-8.000000E-11	1.514400E-10
0.812000	-5.000000E-11	-1.000000E-10	5.344000E-11
0.819000	-4.000000E-11	-1.100000E-10	1.637500E-10
0.826000	-5.000000E-11	-8.000000E-11	1.286300E-10
0.833000	-6.000000E-11	-7.000000E-11	6.881000E-11
0.840000	-6.000000E-11	-1.200000E-10	1.649300E-10
0.847000	-7.000000E-11	-8.000000E-11	1.350700E-10
0.854000	-4.000000E-11	-8.000000E-11	6.820000E-11
0.861000	-5.000000E-11	-1.200000E-10	1.459500E-10
0.868000	-4.000000E-11	-8.000000E-11	1.318300E-10
0.875000	-2.000000E-11	-9.000000E-11	4.900000E-11
0.882000	-3.000000E-11	-1.100000E-10	1.533500E-10
0.889000	0.000000	-1.300000E-10	1.284100E-10
0.896000	2.000000E-11	-1.200000E-10	3.377000E-11
0.903000	4.000000E-11	-1.600000E-10	1.533700E-10
0.910000	5.000000E-11	-1.600000E-10	1.193000E-10
0.917000	8.000000E-11	-1.900000E-10	7.001000E-11
0.924000	1.000000E-10	-2.200000E-10	1.383600E-10
0.931000	1.200000E-10	-2.100000E-10	1.405200E-10
0.938000	1.500000E-10	-2.500000E-10	2.270600E-10
0.945000	1.900000E-10	-3.300000E-10	9.434000E-11
0.952000	2.600000E-10	-3.900000E-10	1.631400E-10
0.959000	3.100000E-10	-4.600000E-10	1.601800E-10
0.966000	3.900000E-10	-5.200000E-10	7.983000E-11
0.973000	4.500000E-10	-5.700000E-10	1.532900E-10
0.980000	5.900000E-10	-7.300000E-10	1.675800E-10
0.987000	7.000000E-10	-8.200000E-10	8.613000E-11
0.994000	8.500000E-10	-9.700000E-10	2.300600E-10
1.001000	1.000000E-9	-1.140000E-9	1.618400E-10
1.008000	1.220000E-9	-1.330000E-9	1.342000E-10
1.015000	1.430000E-9	-1.570000E-9	1.018000E-10
1.022000	1.680000E-9	-1.830000E-9	2.415800E-10
1.029000	2.080000E-9	-2.170000E-9	1.543500E-10
1.036000	2.400000E-9	-2.540000E-9	1.003800E-10
1.043000	2.840000E-9	-2.960000E-9	2.376800E-10
1.050000	3.380000E-9	-3.470000E-9	1.597700E-10
1.057000	3.980000E-9	-4.070000E-9	1.004700E-10
1.064000	4.570000E-9	-4.730000E-9	2.648400E-10
1.071000	5.420000E-9	-5.430000E-9	1.782600E-10
1.078000	6.170000E-9	-6.310000E-9	2.047000E-10
1.085000	7.100000E-9	-7.250000E-9	1.528800E-10
1.092000	8.310000E-9	-8.310000E-9	1.164700E-10
1.099000	9.390000E-9	-9.560000E-9	2.479000E-10
1.106000	1.081000E-8	-1.093000E-8	1.793700E-10
1.113000	1.241000E-8	-1.235000E-8	1.010600E-10
1.120000	1.412000E-8	-1.411000E-8	2.705200E-10
1.127000	1.606000E-8	-1.633000E-8	1.500800E-10
1.134000	1.832000E-8	-1.827000E-8	1.341000E-10
1.141000	2.045000E-8	-2.049000E-8	2.675900E-10
1.148000	2.327000E-8	-2.320000E-8	1.752800E-10
1.155000	2.592000E-8	-2.602000E-8	1.355100E-10
1.162000	2.873000E-8	-2.868000E-8	2.688700E-10
1.169000	3.152000E-8	-3.206000E-8	1.894900E-10
1.176000	3.545000E-8	-3.563000E-8	1.759100E-10
1.183000	3.918000E-8	-3.879000E-8	2.652300E-10
1.190000	4.332000E-8	-4.303000E-8	1.540500E-10
1.197000	4.768000E-8	-4.764000E-8	1.979400E-10
1.204000	5.183000E-8	-5.224000E-8	1.833600E-10
1.211000	5.715000E-8	-5.735000E-8	1.138800E-10
1.218000	6.195000E-8	-6.173000E-8	2.065300E-10
1.225000	6.788000E-8	-6.842000E-8	1.563100E-10
1.232000	7.349000E-8	-7.317000E-8	1.082100E-10
1.239000	7.974000E-8	-8.012000E-8	2.354100E-10
1.246000	8.637000E-8	-8.642000E-8	2.002400E-10
1.253000	9.272000E-8	-9.188000E-8	1.218400E-10
1.260000	9.927000E-8	-9.978000E-8	2.708200E-10
1.267000	1.054400E-7	-1.052300E-7	1.786400E-10
1.274000	1.127000E-7	-1.129400E-7	1.876300E-10
1.281000	1.212500E-7	-1.217300E-7	1.148600E-10
1.288000	1.275200E-7	-1.273600E-7	2.767100E-10
1.295000	1.356400E-7	-1.362500E-7	1.762900E-10
1.302000	1.439800E-7	-1.441900E-7	1.506100E-10
1.309000	1.525900E-7	-1.519200E-7	2.830500E-10
1.316000	1.597200E-7	-1.601900E-7	2.136900E-10
1.323000	1.662500E-7	-1.669400E-7	1.509800E-10
1.330000	1.762100E-7	-1.756000E-7	2.961000E-10
1.337000	1.841200E-7	-1.842500E-7	1.754200E-10
1.344000	1.910400E-7	-1.915300E-7	1.659500E-10
1.351000	2.007600E-7	-2.005600E-7	2.968400E-10
1.358000	2.085900E-7	-2.095900E-7	2.061100E-10
1.365000	2.168100E-7	-2.168000E-7	1.298300E-10
1.372000	2.243900E-7	-2.244600E-7	2.940400E-10
1.379000	2.323100E-7	-2.327700E-7	2.104200E-10
1.386000	2.400100E-7	-2.400800E-7	1.573500E-10
1.393000	2.473700E-7	-2.484800E-7	2.567600E-10
1.400000	2.557500E-7	-2.557000E-7	1.723500E-10

IV data for [NW15], address [115]

#Vg (V)	Id (A)	Is (A)	Ig (A)

0.700000	-2.000000E-11	-3.000000E-11	1.115390E-9
0.707000	-6.000000E-11	-7.000000E-11	5.724100E-10
0.714000	-6.000000E-11	-4.000000E-11	4.064200E-10
0.721000	-7.000000E-11	-8.000000E-11	2.661400E-10
0.728000	-6.000000E-11	-6.000000E-11	2.188900E-10
0.735000	-5.000000E-11	-7.000000E-11	3.053400E-10
0.742000	-7.000000E-11	-4.000000E-11	1.921200E-10
0.749000	-6.000000E-11	-4.000000E-11	9.212000E-11
0.756000	-5.000000E-11	-7.000000E-11	2.320900E-10
0.763000	-6.000000E-11	-7.000000E-11	1.319300E-10
0.770000	-9.000000E-11	-4.000000E-11	6.424000E-11
0.777000	-6.000000E-11	-8.000000E-11	2.332500E-10
0.784000	-6.000000E-11	-7.000000E-11	1.319400E-10
0.791000	-6.000000E-11	-7.000000E-11	6.002000E-11
0.798000	-6.000000E-11	-6.000000E-11	1.975100E-10
0.805000	-6.000000E-11	-8.000000E-11	1.275100E-10
0.812000	-5.000000E-11	-6.000000E-11	8.988000E-11
0.819000	-5.000000E-11	-5.000000E-11	2.188900E-10
0.826000	-4.000000E-11	-8.000000E-11	1.295000E-10
0.833000	-5.000000E-11	-9.000000E-11	5.191000E-11
0.840000	-5.000000E-11	-6.000000E-11	2.080700E-10
0.847000	-3.000000E-11	-6.000000E-11	1.277000E-10
0.854000	-5.000000E-11	-7.000000E-11	8.157000E-11
0.861000	-4.000000E-11	-6.000000E-11	1.875900E-10
0.868000	-3.000000E-11	-6.000000E-11	1.065600E-10
0.875000	-5.000000E-11	-8.000000E-11	5.579000E-11
0.882000	-2.000000E-11	-8.000000E-11	1.487200E-10
0.889000	-2.000000E-11	-8.000000E-11	1.378800E-10
0.896000	1.000000E-11	-9.000000E-11	3.024000E-11
0.903000	2.000000E-11	-1.400000E-10	1.374800E-10
0.910000	3.000000E-11	-1.300000E-10	1.587200E-10
0.917000	4.000000E-11	-1.300000E-10	1.207100E-10
0.924000	7.000000E-11	-1.600000E-10	1.626300E-10
0.931000	1.000000E-10	-1.900000E-10	1.465900E-10
0.938000	1.200000E-10	-2.500000E-10	1.525200E-10
0.945000	1.600000E-10	-2.800000E-10	1.516900E-10
0.952000	2.000000E-10	-2.900000E-10	1.564600E-10
0.959000	2.500000E-10	-3.600000E-10	5.273000E-11
0.966000	3.100000E-10	-4.100000E-10	1.234600E-10
0.973000	4.000000E-10	-5.000000E-10	2.247500E-10
0.980000	4.600000E-10	-5.900000E-10	1.750400E-10
0.987000	5.400000E-10	-6.700000E-10	2.039000E-10
0.994000	6.500000E-10	-7.600000E-10	1.432100E-10
1.001000	8.000000E-10	-9.000000E-10	7.361000E-11
1.008000	9.400000E-10	-1.070000E-9	1.784900E-10
1.015000	1.160000E-9	-1.240000E-9	1.555900E-10
1.022000	1.340000E-9	-1.470000E-9	7.209000E-11
1.029000	1.590000E-9	-1.740000E-9	1.671000E-10
1.036000	1.930000E-9	-2.030000E-9	1.538100E-10
1.043000	2.270000E-9	-2.360000E-9	7.470000E-11
1.050000	2.690000E-9	-2.800000E-9	1.736600E-10
1.057000	3.140000E-9	-3.230000E-9	1.586100E-10
1.064000	3.690000E-9	-3.760000E-9	7.425000E-11
1.071000	4.370000E-9	-4.460000E-9	1.772000E-10
1.078000	5.020000E-9	-5.090000E-9	1.658500E-10
1.085000	5.900000E-9	-6.030000E-9	9.245000E-11
1.092000	6.940000E-9	-7.010000E-9	1.892700E-10
1.099000	8.040000E-9	-8.230000E-9	1.731600E-10
1.106000	9.310000E-9	-9.500000E-9	8.627000E-11
1.113000	1.074000E-8	-1.082000E-8	1.916100E-10
1.120000	1.233000E-8	-1.249000E-8	1.760600E-10
1.127000	1.420000E-8	-1.422000E-8	9.196000E-11
1.134000	1.621000E-8	-1.632000E-8	1.901000E-10
1.141000	1.859000E-8	-1.879000E-8	1.803600E-10
1.148000	2.154000E-8	-2.129000E-8	1.058000E-10
1.155000	2.425000E-8	-2.429000E-8	2.030100E-10
1.162000	2.741000E-8	-2.758000E-8	1.856300E-10
1.169000	3.068000E-8	-3.088000E-8	1.023600E-10
1.176000	3.454000E-8	-3.404000E-8	2.048900E-10
1.183000	3.785000E-8	-3.842000E-8	1.775800E-10
1.190000	4.277000E-8	-4.306000E-8	9.661000E-11
1.197000	4.748000E-8	-4.684000E-8	2.014600E-10
1.204000	5.143000E-8	-5.189000E-8	1.788000E-10
1.211000	5.730000E-8	-5.672000E-8	1.022400E-10
1.218000	6.273000E-8	-6.209000E-8	2.331900E-10
1.225000	6.845000E-8	-6.903000E-8	1.971500E-10
1.232000	7.441000E-8	-7.460000E-8	1.059200E-10
1.239000	8.070000E-8	-8.077000E-8	2.239300E-10
1.246000	8.718000E-8	-8.846000E-8	1.870500E-10
1.253000	9.484000E-8	-9.514000E-8	1.185300E-10
1.260000	1.020700E-7	-1.018400E-7	2.738100E-10
1.267000	1.098800E-7	-1.106500E-7	1.918500E-10
1.274000	1.190900E-7	-1.182400E-7	1.356800E-10
1.281000	1.268900E-7	-1.264800E-7	2.932600E-10
1.288000	1.339200E-7	-1.342900E-7	2.035900E-10
1.295000	1.427200E-7	-1.423500E-7	1.614300E-10
1.302000	1.506500E-7	-1.493100E-7	2.919400E-10
1.309000	1.593000E-7	-1.592800E-7	1.955400E-10
1.316000	1.671600E-7	-1.683200E-7	2.322400E-10
1.323000	1.761000E-7	-1.759000E-7	2.082800E-10
1.330000	1.837100E-7	-1.840100E-7	1.539800E-10
1.337000	1.960000E-7	-1.945900E-7	3.055800E-10
1.344000	2.032800E-7	-2.036100E-7	2.192700E-10
1.351000	2.110700E-7	-2.118300E-7	1.427700E-10
1.358000	2.208900E-7	-2.208400E-7	3.183000E-10
1.365000	2.293100E-7	-2.303300E-7	1.886000E-10
1.372000	2.382900E-7	-2.377700E-7	1.541000E-10
1.379000	2.449500E-7	-2.464100E-7	2.762700E-10
1.386000	2.570000E-7	-2.568300E-7	1.903200E-10
1.393000	2.635400E-7	-2.633800E-7	2.184100E-10
1.400000	2.739100E-7	-2.733700E-7	2.615700E-10

IV data for [NW21], address [117]

#Vg (V)	Id (A)	Is (A)	Ig (A)

0.700000	-2.000000E-11	-2.000000E-11	1.287900E-9
0.707000	0.000000	-7.000000E-11	6.618400E-10
0.714000	-2.000000E-11	-5.000000E-11	3.452600E-10
0.721000	0.000000	-7.000000E-11	3.735100E-10
0.728000	0.000000	-7.000000E-11	2.347400E-10
0.735000	-1.000000E-11	-6.000000E-11	1.753200E-10
0.742000	3.000000E-11	-6.000000E-11	2.228100E-10
0.749000	3.000000E-11	-6.000000E-11	1.515200E-10
0.756000	4.000000E-11	-4.000000E-11	1.276900E-10
0.763000	2.000000E-11	-4.000000E-11	1.084800E-10
0.770000	1.000000E-11	-5.000000E-11	6.017000E-11
0.777000	3.000000E-11	-6.000000E-11	1.358800E-10
0.784000	2.000000E-11	-3.000000E-11	1.118000E-10
0.791000	3.000000E-11	-4.000000E-11	1.807000E-11
0.798000	1.000000E-11	-5.000000E-11	1.290400E-10
0.805000	2.000000E-11	-8.000000E-11	1.133200E-10
0.812000	3.000000E-11	-8.000000E-11	4.329000E-11
0.819000	3.000000E-11	-4.000000E-11	1.285600E-10
0.826000	2.000000E-11	-7.000000E-11	1.260100E-10
0.833000	5.000000E-11	-8.000000E-11	3.054000E-11
0.840000	1.000000E-11	-5.000000E-11	1.056400E-10
0.847000	4.000000E-11	-7.000000E-11	1.991100E-10
0.854000	0.000000	-6.000000E-11	1.194300E-10
0.861000	3.000000E-11	-6.000000E-11	1.335900E-10
0.868000	3.000000E-11	-7.000000E-11	1.286600E-10
0.875000	4.000000E-11	-9.000000E-11	4.417000E-11
0.882000	3.000000E-11	-5.000000E-11	1.261400E-10
0.889000	3.000000E-11	-6.000000E-11	2.055500E-10
0.896000	3.000000E-11	-1.000000E-10	1.188700E-10
0.903000	4.000000E-11	-1.200000E-10	1.626100E-10
0.910000	5.000000E-11	-1.000000E-10	1.426900E-10
0.917000	5.000000E-11	-1.000000E-10	5.813000E-11
0.924000	5.000000E-11	-1.200000E-10	1.640900E-10
0.931000	8.000000E-11	-1.200000E-10	1.473000E-10
0.938000	8.000000E-11	-1.500000E-10	4.977000E-11
0.945000	1.000000E-10	-1.000000E-10	1.553700E-10
0.952000	1.300000E-10	-1.500000E-10	1.599600E-10
0.959000	1.400000E-10	-1.500000E-10	2.924000E-11
0.966000	1.400000E-10	-1.600000E-10	1.618800E-10
0.973000	1.800000E-10	-2.100000E-10	1.287300E-10
0.980000	2.200000E-10	-2.300000E-10	5.635000E-11
0.987000	2.700000E-10	-3.000000E-10	1.339500E-10
